,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name
884,2.03,4.78,3.14,29.3494775,0.1715,4919.0,0.74,0.79,-0.04,1,1,679.106,0.468697918634966,1,Kepler-1461 b
885,1.77,3.78,3.75,31.8277111,0.1939,4726.0,0.71,0.75,-0.06,1,1,359.497,0.530319468715303,1,Kepler-1465 b
886,1.07,1.24,5.56,16.2950903,0.116,4961.0,0.76,0.8,-0.01,1,1,590.601,0.7693413037564477,2,Kepler-1470 b
887,1.41,2.57,5.04,3.63899398,0.0453,5660.0,0.93,0.95,-0.03,1,2,978.678,0.6511501578133344,1,Kepler-1471 b
888,1.18,1.76,5.89,11.55530021,0.0911,5100.0,0.78,0.81,-0.06,1,1,680.828,0.7161110208038736,1,Kepler-1477 b
889,1.8,3.89,3.67,1.729366,0.028,5272.0,0.85,0.86,0.14,1,3,791.163,0.5116841064885082,1,Kepler-148 b
890,3.6,12.6,1.48,4.180043,0.05,5272.0,0.85,0.86,0.14,1,3,791.163,0.3092077833818531,1,Kepler-148 c
891,8.68,56.3,0.473,51.84688575,0.2607,5172.0,0.81,0.86,0.07,1,3,791.163,0.27510146427490867,1,Kepler-148 d
892,1.67,3.43,4.05,22.12679948,0.1525,5156.0,0.81,0.85,0.07,2,1,500.892,0.5565966101264773,1,Kepler-1480 b
893,1.23,2.04,6.02,5.94220998,0.059,4908.0,0.75,0.8,0.04,1,1,459.076,0.6933474738324127,1,Kepler-1481 b
894,1.01,1.01,5.39,12.25383217,0.1016,5381.0,0.84,0.88,-0.04,1,1,567.556,0.7829791822772848,2,Kepler-1482 b
895,1.652,3.37,4.11,6.15826988,0.0658,5710.0,1.52,1.0,0.0,1,2,905.825,0.5569214679918831,1,Kepler-1488 c
896,1.61,3.22,4.24,55.328328,0.281,5381.0,0.95,0.92,0.381,1,3,571.034,0.5885145026034321,1,Kepler-149 c
897,1.49,2.83,4.7,16.75255007,0.1262,4712.0,0.72,0.77,0.06,1,1,331.553,0.6203537335703365,1,Kepler-1492 b
898,1.33,2.33,5.44,48.051405,0.2528,5256.0,0.81,0.86,-0.01,1,1,740.0,0.7086348411936453,1,Kepler-1498 b
899,1.19,1.81,5.9,44.2008,0.2196,5097.0,0.78,0.82,-0.01,1,1,309.869,0.7246099364345667,1,Kepler-1499 b
900,1.25,2.1,5.91,3.428054,0.044,5560.0,0.94,0.94,-0.02,1,5,891.092,0.6933754478291352,1,Kepler-150 b
901,3.69,13.2,1.44,7.381998,0.073,5560.0,0.94,0.94,-0.02,1,5,891.092,0.3070087605261827,1,Kepler-150 c
902,2.79,8.2,2.07,12.56093,0.104,5560.0,0.94,0.94,-0.02,1,5,891.092,0.3611122878071423,1,Kepler-150 d
903,3.12,9.91,1.79,30.826557,0.189,5560.0,0.94,0.94,-0.02,1,5,891.092,0.34313151418154914,1,Kepler-150 e
904,3.64,12.9,1.47,637.2093,1.24,5528.0,0.91,0.97,-0.02,1,5,891.092,0.34221884187332335,1,Kepler-150 f
905,2.27,5.77,2.71,96.16987,0.3771,5069.0,0.74,0.77,-0.19,1,1,1225.57,0.45370644427852236,1,Kepler-1503 b
906,0.93,0.749,5.12,30.8609366,0.1862,5686.0,0.86,0.93,-0.18,1,1,495.148,0.7547912518477271,2,Kepler-1505 b
907,0.84,0.52,4.82,16.0506213,0.1234,5410.0,0.85,0.89,-0.03,1,1,320.478,0.7062821958158739,1,Kepler-1507 b
908,3.06,9.59,1.84,15.228958,0.116,5460.0,0.83,0.87,0.124,1,2,649.919,0.34157469067441437,1,Kepler-151 b
909,2.09,5.02,3.02,24.674612,0.16,5460.0,0.83,0.87,0.124,1,2,649.919,0.45540702871225597,1,Kepler-151 c
910,1.18,1.76,5.89,20.35972599,0.1097,4372.0,0.67,0.73,0.2,1,1,162.0,0.7191990372712246,1,Kepler-1512 b
911,2.9,8.75,1.97,9.6310258,0.0905,6432.0,1.34,1.06,-0.34,1,2,903.51,0.3510899958660439,1,Kepler-1518 c
912,2.79,8.2,2.07,18.207973,0.124,5088.0,0.72,0.83,-0.16,1,2,441.09,0.36308976774901497,1,Kepler-152 b
913,2.39,6.3,2.54,88.255055,0.356,5088.0,0.72,0.83,-0.16,1,2,441.09,0.4336079694451313,1,Kepler-152 c
